MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
606,Kazemakase Tsukikage Ran,7.12,"Adventure, Comedy, Historical, Martial Arts, Samurai",Carried by the Wind:Tsukikage Ran,風まかせ月影蘭,TV,13,"Jan 26, 2000 to Apr 19, 2000",Winter 2000,Bandai Visual,Bandai Entertainment,Madhouse,Original,24 min. per ep.,PG-13 - Teens 13 or older,3120.0,4395,13171,57,636,5512,537,481,6005,245.0,484.0,1016.0,1511.0,751.0,402.0,118.0,39.0,20.0,14.0
618,Juubee Ninpuuchou: Ryuuhougyoku-hen,6.7,"Adventure, Horror, Magic, Martial Arts, Samurai, Shounen, Supernatural",Ninja Scroll:The Series,獣兵衛忍風帖「龍宝玉篇」,TV,13,"Apr 15, 2003 to Jul 15, 2003",Spring 2003,Studio Take Off,"Discotek Media, Urban Vision",Madhouse,Original,24 min. per ep.,R - 17+ (violence & profanity),4899.0,2798,33722,89,1178,18870,1006,1543,11125,742.0,1340.0,2792.0,4165.0,2856.0,1721.0,907.0,395.0,255.0,154.0
620,Takahashi Rumiko Gekijou Ningyo no Mori,7.06,"Mystery, Horror, Drama, Fantasy",Mermaid Forest,高橋留美子劇場 人魚の森,TV,13,"Oct 5, 2003 to Dec 21, 2003",Fall 2003,TV Tokyo,Geneon Entertainment USA,TMS Entertainment,Manga,24 min. per ep.,R - 17+ (violence & profanity),3419.0,3463,22339,78,1071,9796,964,942,9566,429.0,776.0,1735.0,2620.0,1328.0,687.0,243.0,90.0,61.0,42.0
621,Night Walker: Mayonaka no Tantei,6.94,"Action, Comedy, Horror, Mystery, Vampire",Nightwalker:The Midnight Detective,Night Walker -真夜中の探偵-,TV,12,"Jul 9, 1998 to Sep 23, 1998",Summer 1998,"Bandai Visual, BeSTACK, Half H.P Studio, Memory-Tech","Central Park Media, Discotek Media",AIC,Visual novel,25 min. per ep.,R+ - Mild Nudity,3853.0,4006,16317,94,639,7908,630,690,6450,402.0,600.0,1248.0,1823.0,1171.0,667.0,271.0,84.0,52.0,32.0
635,Juubee-chan: Lovely Gantai no Himitsu,6.67,"Action, Adventure, Comedy, Drama, Shounen",Jubei-chan the Ninja Girl:Secret of the Lovely Eyepatch,十兵衛ちゃん ーラブリー眼帯の秘密,TV,13,"Apr 6, 1999 to Jun 29, 1999",Spring 1999,Bandai Visual,"Bandai Entertainment, Media Blasters",Madhouse,Original,25 min. per ep.,PG-13 - Teens 13 or older,5060.0,4092,15652,31,566,8592,693,962,4839,249.0,521.0,1176.0,1989.0,1410.0,834.0,367.0,166.0,81.0,46.0
636,Juubee-chan 2: Siberia Yagyuu no Gyakushuu,6.87,"Adventure, Comedy, Drama, Martial Arts, Samurai, Shounen",Jubei-chan 2:The Counterattack of Siberia Yagyu,十兵衛ちゃん2 ～シベリア柳生の逆襲～,TV,13,"Jan 8, 2004 to Apr 1, 2004",Winter 2004,TV Tokyo Music,Geneon Entertainment USA,Madhouse,Original,25 min. per ep.,PG-13 - Teens 13 or older,4166.0,5069,9198,23,304,5127,326,292,3149,182.0,326.0,761.0,1131.0,695.0,361.0,145.0,47.0,47.0,28.0
649,Hanaukyou Maid-tai: La Verite,6.8,"Comedy, Ecchi, Harem, Romance",Hanaukyo Maid Team:La Verite,花右京メイド隊 La Verite,TV,12,"Apr 4, 2004 to Jun 20, 2004",Spring 2004,Geneon Universal Entertainment,"Sentai Filmworks, Geneon Entertainment USA",Daume,Manga,23 min. per ep.,R+ - Mild Nudity,4436.0,3653,20049,21,740,13402,548,689,4670,468.0,753.0,1738.0,2841.0,2026.0,1031.0,431.0,160.0,88.0,62.0
667,Kashimashi: Girl Meets Girl,6.67,"Comedy, Drama, Romance, School, Shoujo Ai, Slice of Life",Girl Meets Girl,かしまし〜ガール・ミーツ・ガール〜,TV,12,"Jan 12, 2006 to Mar 30, 2006",Winter 2006,"Bandai Visual, Lantis",Media Blasters,Studio Hibari,Manga,24 min. per ep.,PG-13 - Teens 13 or older,5054.0,2436,43400,186,1686,25767,1582,2447,11918,1040.0,1617.0,3655.0,5736.0,4286.0,2560.0,1167.0,532.0,300.0,248.0
668,Koi Koi 7,5.81,"Comedy, Harem, Romance",Koi Koi Seven,こいこい7,TV,13,"Apr 2, 2005 to Jun 25, 2005",Spring 2005,Trinet Entertainment,Discotek Media,Studio Flag,Manga,25 min. per ep.,R+ - Mild Nudity,8809.0,4273,14063,18,835,6632,653,1249,4694,213.0,189.0,466.0,1005.0,1181.0,948.0,587.0,335.0,224.0,199.0
682,Otogi Story Tenshi no Shippo,6.56,"Fantasy, Magic, Comedy, Harem, Romance",Angel Tales,おとぎストーリー　天使のしっぽ,TV,12,"Oct 4, 2001 to Dec 20, 2001",Fall 2001,Lantis,Bandai Entertainment,Tokyo Kids,Original,22 min. per ep.,PG-13 - Teens 13 or older,5578.0,4416,12885,30,574,6968,494,711,4138,322.0,386.0,735.0,1384.0,1139.0,749.0,287.0,131.0,107.0,59.0
687,Tokyo Mew Mew,6.99,"Sci-Fi, Comedy, Magic, Romance, Fantasy, Shoujo",Mew Mew Power,東京ミュウミュウ,TV,52,"Apr 6, 2002 to Mar 29, 2003",Spring 2002,"Kodansha, TV Aichi",4Kids Entertainment,Studio Pierrot,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3669.0,1251,115993,1418,5203,74793,6636,9646,19715,4706.0,5838.0,10678.0,16391.0,11051.0,6744.0,2321.0,903.0,515.0,316.0
688,Uta∽Kata,6.72,"Psychological, Drama, Magic",Utakata,うた∽かた,TV,12,"Oct 3, 2004 to Dec 19, 2004",Fall 2004,"Bandai Visual, gimik",Sentai Filmworks,Hal Film Maker,Original,23 min. per ep.,PG-13 - Teens 13 or older,4827.0,3495,22015,68,730,10560,759,1003,8963,449.0,665.0,1469.0,2193.0,1711.0,1003.0,443.0,217.0,98.0,57.0
690,Kyuuketsuhime Miyu (TV),7.15,"Action, Horror, Demons, Drama, Vampire, Shoujo",Vampire Princess Miyu,吸血姫美夕,TV,26,"Oct 6, 1997 to Mar 30, 1998",Fall 1997,Studio Jack,"Tokyopop, Maiden Japan",AIC,Manga,25 min. per ep.,R - 17+ (violence & profanity),2998.0,2873,31840,188,1794,12090,2049,1963,13944,784.0,1124.0,2269.0,3071.0,1809.0,967.0,372.0,126.0,58.0,59.0
718,Yume de Aetara (TV),6.46,"Comedy, Drama, Romance, Seinen, Slice of Life",If I See You in My Dreams,夢で逢えたら,TV,16,"Nov 30, 1998 to Dec 24, 1998",Fall 1998,TBS,Media Blasters,J.C.Staff,Manga,7 min. per ep.,R+ - Mild Nudity,6095.0,6029,5971,7,246,3088,183,239,2215,100.0,138.0,337.0,635.0,590.0,303.0,131.0,79.0,41.0,27.0
721,Princess Tutu,8.15,"Comedy, Drama, Fantasy, Magic, Mystery, Romance",Princess Tutu,プリンセスチュチュ,TV,38,"Aug 16, 2002 to May 23, 2003",Summer 2002,"Memory-Tech, GANSIS, Marvelous AQL","ADV Films, Sentai Filmworks",Hal Film Maker,Original,16 min. per ep.,PG-13 - Teens 13 or older,368.0,1138,129950,4426,6385,63089,7069,5026,48381,10510.0,12281.0,13386.0,8951.0,4034.0,2102.0,774.0,317.0,190.0,403.0
740,Bishoujo Senshi Sailor Moon R,7.69,"Demons, Magic, Romance, Shoujo",Sailor Moon R,美少女戦士セーラームーン R,TV,43,"Mar 6, 1993 to Mar 12, 1994",Spring 1993,TV Asahi,"ADV Films, VIZ Media, DiC Entertainment",Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1051.0,1213,120962,849,5165,96739,3391,1828,13839,10554.0,10728.0,16358.0,18395.0,7840.0,3193.0,770.0,258.0,132.0,131.0
782,Gasaraki,6.66,"Psychological, Mecha, Military, Supernatural, Drama",Gasaraki,ガサラキ,TV,25,"Oct 4, 1998 to Mar 28, 1999",Fall 1998,"Yomiko Advertising, Atelier Musa","ADV Films, Nozomi Entertainment",Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,5082.0,3876,17612,41,889,5726,935,1087,8975,172.0,353.0,922.0,1405.0,1013.0,653.0,318.0,117.0,54.0,50.0
789,Shinigami no Ballad.,6.93,"Drama, Fantasy, Psychological, Supernatural","Momo, Girl God of Death",しにがみのバラッド。,TV,6,"Mar 3, 2006 to Apr 7, 2006",Spring 2006,Pony Canyon,Maiden Japan,"Group TAC, Ginga Ya",Light novel,25 min. per ep.,PG-13 - Teens 13 or older,3879.0,2492,41384,95,1364,22476,1465,1761,14318,1019.0,1683.0,3540.0,5113.0,3357.0,1951.0,662.0,292.0,130.0,92.0
790,Ergo Proxy,7.92,"Psychological, Mystery, Sci-Fi",Ergo Proxy,エルゴプラクシー,TV,23,"Feb 25, 2006 to Aug 12, 2006",Winter 2006,"Geneon Universal Entertainment, WOWOW, Sakura Create","Funimation, Geneon Entertainment USA",Manglobe,Original,25 min. per ep.,R - 17+ (violence & profanity),651.0,249,478552,11039,28651,213453,26468,18804,191176,27077.0,42063.0,53997.0,37433.0,16180.0,7591.0,3611.0,1405.0,716.0,745.0
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.54,"Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen",Ghost in the Shell:Stand Alone Complex 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,TV,26,"Jan 1, 2004 to Jan 8, 2005",Winter 2004,"Bandai Visual, Dentsu, Victor Entertainment, Kodansha, Tokuma Shoten, Nippon Television Network","Bandai Entertainment, Manga Entertainment",Production I.G,Manga,25 min. per ep.,R - 17+ (violence & profanity),88.0,778,191690,3021,7242,115405,5597,2104,61342,20351.0,29634.0,25007.0,10811.0,2912.0,1084.0,345.0,147.0,71.0,433.0
812,Chikyuu Shoujo Arjuna,6.83,"Adventure, Drama, Magic, Sci-Fi",Arjuna,地球少女アルジュナ,TV,13,"Jan 9, 2001 to Mar 27, 2001",Winter 2001,"Bandai Visual, Sotsu",Bandai Entertainment,Satelight,Original,26 min. per ep.,PG-13 - Teens 13 or older,4321.0,3194,26398,179,989,11734,1059,1541,11075,738.0,1080.0,1781.0,2429.0,1712.0,1110.0,543.0,268.0,152.0,117.0
813,Dragon Ball Z,8.16,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",Dragon Ball Z,ドラゴンボールZ,TV,291,"Apr 26, 1989 to Jan 31, 1996",Spring 1989,Fuji TV,Funimation,Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,348.0,88,888982,32032,32608,772421,19285,23682,40986,144729.0,128360.0,158845.0,115623.0,43658.0,18301.0,5619.0,2157.0,1143.0,1618.0
831,Chicchana Yukitsukai Sugar,7.08,"Comedy, Fantasy, Slice of Life",A Little Snow Fairy Sugar,ちっちゃな雪使いシュガー,TV,24,"Oct 2, 2001 to Mar 26, 2002",Fall 2001,"Kadokawa Shoten, Broccoli, TBS, Pioneer LDC","Sentai Filmworks, Geneon Entertainment USA",J.C.Staff,Original,24 min. per ep.,PG - Children,3274.0,3645,20179,134,848,10890,1322,1778,5341,638.0,1016.0,1751.0,2584.0,1583.0,1028.0,318.0,138.0,90.0,62.0
833,Choujuushin Gravion,6.4,"Action, Comedy, Mecha, Sci-Fi, Shounen",Super Heavy God Gravion,超重神グラヴィオン,TV,13,"Oct 7, 2002 to Dec 16, 2002",Fall 2002,Imagica,ADV Films,Gonzo,Original,23 min. per ep.,PG-13 - Teens 13 or older,6402.0,4677,11360,20,516,5694,485,597,4068,133.0,241.0,571.0,1216.0,1031.0,632.0,282.0,110.0,64.0,54.0
838,Narutaru: Mukuro Naru Hoshi Tama Taru Ko,6.07,"Drama, Seinen, Thriller",Shadow Star Narutaru,なるたる ～骸なる星・珠たる子～,TV,13,"Jul 7, 2003 to Sep 29, 2003",Summer 2003,Kids Station,Central Park Media,Planet,Manga,24 min. per ep.,R - 17+ (violence & profanity),7922.0,3036,29056,69,1291,10283,1061,1228,15193,295.0,459.0,1178.0,2028.0,1872.0,1220.0,820.0,465.0,267.0,238.0
840,Narue no Sekai,6.59,"Comedy, Romance, Sci-Fi",The World of Narue,成恵の世界,TV,12,"Apr 5, 2003 to Jun 28, 2003",Spring 2003,"Lantis, Media Factory, Pony Canyon, Imagica","ADV Films, Central Park Media",Studio Live,Manga,24 min. per ep.,PG-13 - Teens 13 or older,5403.0,4014,16213,26,697,8721,566,634,5595,234.0,372.0,1007.0,2022.0,1570.0,910.0,279.0,123.0,65.0,36.0
841,Colorful,6.05,"Comedy, Ecchi, Slice of Life",Colorful,カラフル,TV,16,"Sep 6, 1999 to Sep 30, 1999",Summer 1999,TBS,"ADV Films, Sentai Filmworks","Triangle Staff, Studio Wombat",Manga,6 min. per ep.,R+ - Mild Nudity,8011.0,3571,21032,47,805,9700,627,1427,8473,430.0,518.0,973.0,1593.0,1619.0,1156.0,739.0,409.0,387.0,388.0
845,Kiba,7.32,"Adventure, Fantasy, Shounen",Kiba,牙-KIBA-,TV,51,"Apr 2, 2006 to Mar 25, 2007",Spring 2006,"Aniplex, Ashi Production, Sony Music Entertainment","ADV Films, Sentai Filmworks",Madhouse,Original,24 min. per ep.,PG-13 - Teens 13 or older,2253.0,1834,68142,465,4079,34807,4356,5085,19815,2320.0,3830.0,7359.0,8258.0,4401.0,2309.0,966.0,352.0,170.0,113.0
846,School Rumble Ni Gakki,8.03,"Comedy, Romance, School, Shounen",School Rumble 2nd Semester,スクールランブル 二学期,TV,26,"Apr 3, 2006 to Sep 25, 2006",Spring 2006,"Sotsu, Marvelous, Studio Jack",Funimation,Studio Comet,Manga,24 min. per ep.,PG-13 - Teens 13 or older,499.0,1099,135499,793,3743,103198,3802,2719,22037,11562.0,18465.0,24911.0,16197.0,5664.0,2170.0,661.0,267.0,125.0,115.0
849,Suzumiya Haruhi no Yuuutsu,7.88,"Comedy, Mystery, Parody, School, Sci-Fi, Slice of Life",The Melancholy of Haruhi Suzumiya,涼宮ハルヒの憂鬱,TV,14,"Apr 3, 2006 to Jul 3, 2006",Spring 2006,"Lantis, Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx","Funimation, Bandai Entertainment, Kadokawa Pictures USA",Kyoto Animation,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,702.0,115,745062,15729,29640,490883,24161,20252,180126,52192.0,85959.0,122485.0,85769.0,32877.0,14030.0,5758.0,2118.0,1282.0,1436.0
850,Gakuen Heaven,6.55,"Harem, Comedy, Drama, Romance, School, Shounen Ai",Gakuen Heaven,学園ヘヴン,TV,13,"Apr 1, 2006 to Jun 24, 2006",Spring 2006,"Geneon Universal Entertainment, Visual Art's",Media Blasters,Tokyo Kids,Visual novel,26 min. per ep.,PG-13 - Teens 13 or older,5618.0,2127,55034,203,2363,35192,2072,3557,11850,1444.0,2157.0,4010.0,6527.0,5769.0,3874.0,1841.0,774.0,450.0,269.0
853,Ouran Koukou Host Club,8.2,"Comedy, Harem, Romance, School, Shoujo",Ouran High School Host Club,桜蘭高校ホスト部,TV,26,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,"VAP, Hakusensha, Nippon Television Network",Funimation,Bones,Manga,23 min. per ep.,PG-13 - Teens 13 or older,305.0,102,827960,30919,35862,638636,26554,25175,101733,103425.0,124205.0,137427.0,90928.0,33091.0,14389.0,4927.0,1944.0,1089.0,1192.0
855,Strawberry Panic,7.31,"Drama, Romance, School, Shoujo Ai",Strawberry Panic,ストロベリー・パニック,TV,26,"Apr 4, 2006 to Sep 26, 2006",Spring 2006,"Lantis, Dwango",Media Blasters,"Madhouse, Imagin",Other,25 min. per ep.,PG-13 - Teens 13 or older,2285.0,1269,113097,1885,5893,58091,5851,7643,35619,5688.0,6647.0,10267.0,12185.0,7441.0,4101.0,1956.0,772.0,461.0,353.0
856,Utawarerumono,7.67,"Action, Drama, Fantasy, Sci-Fi",Utawarerumono,うたわれるもの,TV,26,"Apr 4, 2006 to Sep 26, 2006",Spring 2006,"Lantis, Half H.P Studio, AQUAPLUS","ADV Films, Funimation",OLM,Visual novel,23 min. per ep.,R - 17+ (violence & profanity),1103.0,1057,140221,1114,7442,71646,5791,5410,49932,5456.0,9677.0,17419.0,14453.0,6103.0,2754.0,1003.0,332.0,171.0,141.0
857,Air Gear,7.53,"Action, Comedy, Ecchi, Shounen, Sports",Air Gear,エア・ギア,TV,25,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,"Marvelous, Kodansha","ADV Films, Funimation",Toei Animation,Manga,24 min. per ep.,R+ - Mild Nudity,1469.0,474,298135,3694,11170,203281,10629,15024,58031,16986.0,24462.0,40658.0,41421.0,20026.0,9739.0,3836.0,1451.0,733.0,541.0
859,Digimon Savers,6.95,"Adventure, Comedy, Drama, Fantasy, Shounen",Digimon Data Squad,デジモンセイバーズ,TV,48,"Apr 2, 2006 to Mar 25, 2007",Spring 2006,Fuji TV,Flatiron Film Company,Toei Animation,Original,23 min. per ep.,PG - Children,3810.0,1800,71051,381,1833,54934,2420,4306,7558,3069.0,3961.0,8077.0,11436.0,7674.0,4339.0,1980.0,837.0,417.0,237.0
860,Makai Senki Disgaea,6.76,"Action, Comedy, Demons, Fantasy, Magic",Disgaea,魔界戦記ディスガイア,TV,12,"Apr 5, 2006 to Jun 21, 2006",Spring 2006,Nippon Ichi Software,"Funimation, Geneon Entertainment USA",OLM,Game,24 min. per ep.,PG-13 - Teens 13 or older,4630.0,2575,39100,170,1439,23252,1741,2417,10251,996.0,1570.0,3235.0,5307.0,3640.0,2188.0,1031.0,415.0,253.0,146.0
861,xxxHOLiC,8.01,"Comedy, Drama, Mystery, Psychological, Supernatural",xxxHOLiC,×××HOLiC（ホリック）,TV,24,"Apr 7, 2006 to Sep 29, 2006",Spring 2006,"TBS, BMG Japan, Kids Station, Kodansha",Funimation,Production I.G,Manga,24 min. per ep.,PG-13 - Teens 13 or older,527.0,583,249828,4137,13229,123257,13701,11633,88008,14756.0,21914.0,31197.0,21157.0,7858.0,3620.0,1268.0,491.0,248.0,278.0
863,Joshikousei: Girl's High,6.58,"Comedy, Drama, Ecchi, School, Slice of Life",High School Girls,女子高生 GIRL'S HIGH,TV,12,"Apr 4, 2006 to Jun 20, 2006",Spring 2006,"Genco, Showgate, Futabasha",Media Blasters,Arms,Manga,24 min. per ep.,PG-13 - Teens 13 or older,5484.0,2906,31305,63,1324,16242,1241,2050,10448,468.0,862.0,2143.0,3794.0,3012.0,1788.0,750.0,298.0,195.0,175.0
872,Mahou Shoujo-tai Arusu,7.09,"Adventure, Comedy, Fantasy, Magic",Tweeny Witches,魔法少女隊アルス,TV,40,"Apr 9, 2004 to Mar 4, 2005",Spring 2004,"Tohokushinsha Film Corporation, Beyond C.",Media Blasters,Studio 4°C,Original,9 min. per ep.,PG-13 - Teens 13 or older,3267.0,3263,25235,76,1459,6380,1435,1249,14712,333.0,655.0,1347.0,1600.0,990.0,522.0,223.0,101.0,52.0,48.0
873,.hack//Roots,6.91,"Adventure, Drama, Fantasy, Game, Sci-Fi",.hack//roots,.hack//Roots,TV,26,"Apr 6, 2006 to Sep 28, 2006",Spring 2006,"TV Tokyo, Bandai Visual, CyberConnect2","Funimation, Bandai Entertainment",Bee Train,Original,24 min. per ep.,PG-13 - Teens 13 or older,3982.0,1855,66696,283,2260,41609,2942,3552,16333,1922.0,3105.0,6288.0,9399.0,5810.0,3259.0,1417.0,573.0,303.0,204.0
874,Digimon Tamers,7.62,"Adventure, Comedy, Drama, Fantasy, Shounen",Digimon Tamers,デジモンテイマーズ,TV,51,"Apr 1, 2001 to Mar 31, 2002",Spring 2001,"Yomiko Advertising, Fuji TV","Saban Entertainment, Flatiron Film Company",Toei Animation,Original,25 min. per ep.,PG - Children,1223.0,927,160643,1669,3440,138566,3645,4124,10868,11119.0,16541.0,28728.0,26107.0,11862.0,5260.0,1523.0,517.0,236.0,149.0
876,Street Fighter II V,7.07,"Action, Adventure, Drama, Mystery, Shounen",Street Fighter II:The Animated Series,ストリートファイターII V,TV,29,"Apr 10, 1995 to Nov 27, 1995",Spring 1995,"Group TAC, Studio Take Off",Manga Entertainment,"Studio Hibari, Production Reed",Game,24 min. per ep.,PG-13 - Teens 13 or older,3333.0,3486,22065,111,795,15629,770,917,3954,971.0,1202.0,2767.0,3767.0,2078.0,1150.0,471.0,177.0,90.0,48.0
877,Nana,8.46,"Music, Slice of Life, Comedy, Drama, Romance, Shoujo",Nana,NANA [ナナ],TV,47,"Apr 5, 2006 to Mar 28, 2007",Spring 2006,"VAP, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,23 min. per ep.,R+ - Mild Nudity,120.0,328,403296,16944,26741,185800,22031,18693,150031,44387.0,41543.0,36929.0,22709.0,9561.0,4593.0,1978.0,760.0,513.0,880.0
878,Zegapain,7.35,"Action, Mecha, Romance, Sci-Fi",Zegapain,ゼーガペイン,TV,26,"Apr 6, 2006 to Sep 28, 2006",Spring 2006,"TV Tokyo, Dentsu, Atelier Musa","Bandai Entertainment, Sentai Filmworks",Sunrise,Original,23 min. per ep.,PG-13 - Teens 13 or older,2112.0,3015,29544,168,1482,11824,1363,1599,13276,628.0,1324.0,2665.0,2741.0,1380.0,735.0,270.0,97.0,50.0,51.0
880,Aa! Megami-sama!: Sorezore no Tsubasa,7.58,"Comedy, Magic, Romance, Seinen, Supernatural",Ah! My Goddess:Flights of Fancy,ああっ女神さまっ　それぞれの翼,TV,22,"Apr 7, 2006 to Sep 15, 2006",Spring 2006,"TBS, Kodansha, Imagine","ADV Films, Funimation, NYAV Post",AIC,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1324.0,2056,57580,184,1604,43366,1616,1141,9853,2931.0,4885.0,9126.0,8753.0,3745.0,1508.0,393.0,157.0,63.0,54.0
889,Black Lagoon,8.05,"Action, Seinen",Black Lagoon,BLACK LAGOON,TV,12,"Apr 9, 2006 to Jun 25, 2006",Spring 2006,"Geneon Universal Entertainment, Shogakukan","Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min. per ep.,R - 17+ (violence & profanity),475.0,133,704436,13626,31875,435287,23002,14918,199354,42109.0,86299.0,122409.0,70596.0,22010.0,8027.0,2577.0,890.0,384.0,419.0
890,Yuusha-Ou GaoGaiGar,7.82,"Adventure, Mecha, Sci-Fi, Shounen",King of Braves GaoGaiGar,勇者王ガオガイガー,TV,49,"Feb 1, 1997 to Jan 31, 1998",Winter 1997,Victor Entertainment,Media Blasters,Sunrise,Original,25 min. per ep.,G - All Ages,803.0,3980,16588,301,993,5530,1068,723,8274,745.0,1026.0,1254.0,1013.0,474.0,242.0,83.0,53.0,33.0,30.0
907,Princess Princess,7.02,"Comedy, Drama, School, Shoujo",Princess Princess,プリンセス・プリンセス,TV,12,"Apr 6, 2006 to Jun 22, 2006",Spring 2006,TV Asahi,Media Blasters,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3561.0,2117,54983,274,2156,34487,2083,3098,13159,1782.0,2848.0,5206.0,7351.0,4766.0,2532.0,1031.0,429.0,246.0,169.0
910,Himawari!,6.34,"Adventure, Comedy, Martial Arts",Himawari!,ひまわりっ!,TV,13,"Apr 9, 2006 to Jul 2, 2006",Spring 2006,"Genco, Starchild Records, Tohokushinsha Film Corporation",Maiden Japan,Arms,Original,24 min. per ep.,PG-13 - Teens 13 or older,6678.0,3537,21384,17,1029,8890,1165,1514,8786,204.0,287.0,850.0,1987.0,1815.0,1084.0,464.0,185.0,103.0,64.0
914,Ike! Ina-chuu Takkyuubu,7.56,"Comedy, Ecchi, School, Sports",The Ping-Pong Club,行け! 稲中卓球部,TV,26,"Apr 6, 1995 to Sep 28, 1995",Spring 1995,"Trans Arts, Kitty Films, TBS, Grouper Productions, Studio Jack",Central Park Media,Studio Hibari,Manga,24 min. per ep.,R+ - Mild Nudity,1389.0,4303,13775,131,908,4429,706,985,6747,595.0,654.0,963.0,952.0,466.0,266.0,151.0,74.0,61.0,76.0
916,Tokkou,6.58,"Action, Mystery, Comedy, Horror, Police, Supernatural, Seinen",Tokko,TOKKÔ[特公],TV,13,"Apr 16, 2006 to Jul 30, 2006",Spring 2006,"WOWOW, Shochiku",Manga Entertainment,"AIC Spirits, Group TAC",Manga,24 min. per ep.,R - 17+ (violence & profanity),5474.0,2538,40071,119,1347,24789,1151,1718,11066,869.0,1608.0,3244.0,5334.0,3998.0,2365.0,1295.0,587.0,297.0,201.0
918,Gintama,8.96,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Gintama,銀魂,TV,201,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha","Sentai Filmworks, Crunchyroll",Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,15.0,114,754607,48247,149543,230260,87145,39531,248128,108448.0,74869.0,52666.0,27675.0,11208.0,6423.0,2934.0,1299.0,850.0,2743.0
919,Ray The Animation,6.65,"Drama, Romance, Sci-Fi",Ray The Animation,RAY THE ANIMATION,TV,13,"Apr 5, 2006 to Jun 28, 2006",Spring 2006,Tohokushinsha Film Corporation,Maiden Japan,OLM,Manga,24 min. per ep.,PG-13 - Teens 13 or older,5147.0,4568,11834,14,584,4329,512,719,5690,160.0,269.0,596.0,989.0,718.0,446.0,215.0,91.0,56.0,25.0
929,Seisenshi Dunbine,7.05,"Action, Sci-Fi, Adventure, Drama, Fantasy, Mecha",Aura Battler Dunbine,聖戦士ダンバイン,TV,49,"Feb 5, 1983 to Jan 21, 1984",Winter 1983,"Bandai Visual, Sotsu, Nagoya Broadcasting Network","ADV Films, Sentai Filmworks",Sunrise,Novel,24 min. per ep.,PG-13 - Teens 13 or older,3437.0,5187,8642,28,633,1866,478,392,5273,135.0,176.0,390.0,478.0,279.0,170.0,79.0,38.0,15.0,16.0
930,Densetsu Kyojin Ideon,6.98,"Sci-Fi, Space, Drama, Mecha",Space Runaway Ideon,伝説巨神イデオン,TV,39,"May 8, 1980 to Jan 30, 1981",Spring 1980,Aniplex,Maiden Japan,Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,3697.0,4610,11734,78,705,3036,596,340,7057,198.0,254.0,567.0,760.0,493.0,255.0,121.0,47.0,17.0,25.0
934,Higurashi no Naku Koro ni,7.95,"Mystery, Dementia, Horror, Psychological, Supernatural, Thriller",When They Cry,ひぐらしのなく頃に,TV,26,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,"Geneon Universal Entertainment, Frontier Works, Sotsu, DAX Production","Sentai Filmworks, Geneon Entertainment USA",Studio Deen,Visual novel,24 min. per ep.,R - 17+ (violence & profanity),610.0,156,638491,19393,39512,363708,33103,29836,172332,52217.0,69878.0,88023.0,58940.0,25202.0,11540.0,5973.0,2564.0,1671.0,1484.0
935,Witchblade,7.27,"Action, Sci-Fi, Super Power",Witchblade,ウィッチブレイド,TV,24,"Apr 6, 2006 to Sep 21, 2006",Spring 2006,"GDH, SKY Perfect Well Think, Sotsu Music Publishing",Funimation,Gonzo,Other,24 min. per ep.,R - 17+ (violence & profanity),2478.0,1425,97248,571,5192,51336,4803,5244,30673,3274.0,5181.0,9949.0,11508.0,6282.0,3279.0,1430.0,585.0,266.0,205.0
